"","X","artist_name","track_name","acousticness","danceability","liveness","loudness","speechiness"
"1",1,"Adele","Hello",0.336,0.481,0.0872,-6.095,0.0347
"2",2,"Adele","Send My Love (To Your New Lover)",0.0415,0.69,0.17,-8.39,0.103
"3",3,"Adele","I Miss You",0.00936,0.381,0.455,-4.273,0.0481
"4",4,"Adele","When We Were Young",0.348,0.381,0.0925,-5.97,0.0486
"5",5,"Adele","Remedy",0.891,0.396,0.169,-6.481,0.0387
"6",6,"Adele","Water Under the Bridge",0.0189,0.596,0.108,-6.52,0.0704
"7",7,"Adele","River Lea",0.0579,0.293,0.123,-5.63,0.0342
"8",8,"Adele","Love in the Dark",0.536,0.333,0.109,-6.025,0.0304
"9",9,"Adele","Million Years Ago",0.733,0.721,0.108,-7.617,0.028
"10",10,"Adele","All I Ask",0.882,0.587,0.149,-5.473,0.0279
"11",11,"Adele","Sweetest Devotion",0.231,0.419,0.123,-5.477,0.0408
"12",12,"Adele","Hello",0.329,0.47,0.0854,-6.129,0.0342
"13",13,"Adele","Send My Love (To Your New Lover)",0.0356,0.688,0.172,-8.361,0.0875
"14",14,"Adele","I Miss You",0.01,0.382,0.433,-4.254,0.047
"15",15,"Adele","When We Were Young",0.303,0.377,0.095,-5.936,0.0489
"16",16,"Adele","Remedy",0.894,0.403,0.154,-6.475,0.0427
"17",17,"Adele","Water Under The Bridge",0.0142,0.59,0.105,-6.503,0.0615
"18",18,"Adele","River Lea",0.0585,0.221,0.116,-5.588,0.0345
"19",19,"Adele","Love In The Dark",0.528,0.472,0.109,-6.057,0.0291
"20",20,"Adele","Million Years Ago",0.742,0.72,0.11,-7.623,0.0276
"21",21,"Adele","All I Ask",0.889,0.592,0.124,-5.494,0.0283
"22",22,"Adele","Sweetest Devotion",0.251,0.416,0.125,-5.471,0.0396
"23",23,"Adele","Rolling in the Deep",0.131,0.729,0.0527,-5.119,0.0294
"24",24,"Adele","Rumour Has It",0.637,0.618,0.0905,-5.05,0.0451
"25",25,"Adele","Turning Tables",0.952,0.305,0.129,-6.077,0.0293
"26",26,"Adele","Don't You Remember",0.206,0.64,0.0935,-5.689,0.0307
"27",27,"Adele","Set Fire to the Rain",0.00382,0.61,0.125,-3.879,0.0253
"28",28,"Adele","He Won't Go",0.023,0.706,0.0731,-7.044,0.0861
"29",29,"Adele","Take It All",0.953,0.411,0.167,-8.484,0.031
"30",30,"Adele","I'll Be Waiting",0.0467,0.548,0.131,-2.674,0.0374
"31",31,"Adele","One And Only",0.295,0.464,0.141,-5.306,0.0376
"32",32,"Adele","Lovesong",0.722,0.69,0.111,-9.454,0.0284
"33",33,"Adele","Someone Like You",0.892,0.559,0.0975,-8.251,0.0285
"34",34,"Adele","Rolling in the Deep",0.131,0.727,0.0569,-5.114,0.0295
"35",35,"Adele","Rumour Has It",0.607,0.609,0.165,-5.022,0.0474
"36",36,"Adele","Turning Tables",0.952,0.418,0.133,-6.057,0.0279
"37",37,"Adele","Don't You Remember",0.221,0.638,0.0875,-5.67,0.0305
"38",38,"Adele","Set Fire to the Rain",0.00443,0.611,0.107,-3.871,0.0254
"39",39,"Adele","He Won't Go",0.0217,0.703,0.0753,-7.051,0.0851
"40",40,"Adele","Take It All",0.957,0.439,0.169,-8.408,0.0318
"41",41,"Adele","I'll Be Waiting",0.0654,0.551,0.169,-2.671,0.0376
"42",42,"Adele","One And Only",0.317,0.52,0.149,-5.303,0.0314
"43",43,"Adele","Lovesong",0.717,0.686,0.111,-9.422,0.028
"44",44,"Adele","Someone Like You",0.89,0.552,0.105,-8.255,0.0283
"45",45,"Adele","Rolling in the Deep",0.138,0.73,0.0473,-5.114,0.0298
"46",46,"Adele","Rumour Has It",0.617,0.612,0.167,-5.014,0.0445
"47",47,"Adele","Turning Tables",0.95,0.361,0.132,-6.044,0.0281
"48",48,"Adele","Don't You Remember",0.214,0.643,0.0866,-5.712,0.0304
"49",49,"Adele","Set Fire to the Rain",0.00408,0.603,0.112,-3.882,0.0249
"50",50,"Adele","He Won't Go",0.0223,0.705,0.0754,-7.045,0.0864
"51",51,"Adele","Take It All",0.957,0.415,0.183,-8.44,0.0307
"52",52,"Adele","I'll Be Waiting",0.0497,0.552,0.114,-2.684,0.0368
"53",53,"Adele","One and Only",0.295,0.528,0.165,-5.306,0.0287
"54",54,"Adele","Lovesong",0.693,0.689,0.111,-9.407,0.0279
"55",55,"Adele","Someone Like You",0.893,0.554,0.0996,-8.251,0.028
"56",56,"Adele","I Found A Boy (Bonus track)",0.978,0.594,0.11,-8.629,0.037
"57",57,"Adele","Turning Tables (Live Acoustic)",0.966,0.374,0.772,-10.928,0.0332
"58",58,"Adele","Don't You Remember (Live Acoustic)",0.915,0.382,0.705,-8.57,0.038
"59",59,"Adele","Someone Like You (Live Acoustic)",0.947,0.346,0.701,-9.769,0.0357
"60",60,"Adele","Rolling in the Deep",0.138,0.73,0.0473,-5.114,0.0298
"61",61,"Adele","Rumour Has It",0.617,0.612,0.167,-5.014,0.0445
"62",62,"Adele","Turning Tables",0.95,0.361,0.132,-6.044,0.0281
"63",63,"Adele","Don't You Remember",0.214,0.643,0.0866,-5.712,0.0304
"64",64,"Adele","Set Fire to the Rain",0.00408,0.603,0.112,-3.882,0.0249
"65",65,"Adele","He Won't Go",0.0223,0.705,0.0754,-7.045,0.0864
"66",66,"Adele","Take It All",0.957,0.415,0.183,-8.44,0.0307
"67",67,"Adele","I'll Be Waiting",0.0497,0.552,0.114,-2.684,0.0368
"68",68,"Adele","One and Only",0.295,0.528,0.165,-5.306,0.0287
"69",69,"Adele","Lovesong",0.693,0.689,0.111,-9.407,0.0279
"70",70,"Adele","Someone Like You",0.893,0.554,0.0996,-8.251,0.028
"71",71,"Adele","Daydreamer",0.96,0.802,0.109,-13.215,0.0402
"72",72,"Adele","Best For Last",0.673,0.559,0.108,-10.939,0.309
"73",73,"Adele","Chasing Pavements",0.312,0.621,0.11,-6.07,0.0251
